time,theta1,theta2,x1,y1,x2,y2
0.0,0.7853981633974483,1.0471975511965976,0.7071067811865475,-0.7071067811865476,1.573132184970986,-1.2071067811865477
0.01,0.785132623468413,1.0470292572895266,0.7069189911746939,-0.7072945213392742,1.572860235741845,-1.207440261056702
0.02,0.7843363718741632,1.0465240161743312,0.7063555827448086,-0.7078571824353003,1.57204402260762,-1.2084403674184672
0.03,0.7830105177943147,1.045680748969876,0.7054164468392162,-0.7087930844250212,1.5706824535737347,-1.2101060980100473
0.04,0.7811569003862431,1.044497658964789,0.7041014045226155,-0.7100994382121987,1.5687737074225092,-1.2124357882783614
0.05,0.7787780881307361,1.0429722438929983,0.7024102207043081,-0.7117723525468835,1.5663152464629087,-1.2154271018236396
0.06,0.7758773862280083,1.0411012990696864,0.7003426291194548,-0.7138068379036795,1.5633038331608575,-1.219077023368261
0.07,0.7724588365976996,1.0388809173912903,0.6978983575038554,-0.7161968183351702,1.5597355425652546,-1.2233818599574993
0.08,0.7685272178788769,1.036306489335501,0.6950771580219558,-0.71893514616836,1.5556057771361513,-1.228337242439484
0.09,0.7640880336647718,1.0333727272508486,0.6918788342443176,-0.7220136277970963,1.5509092876813968,-1.2339381144820822
0.1,0.759147491711767,1.0300737020243362,0.6883032661347981,-0.7254230585170073,1.545640196185989,-1.2401787174178103
0.11,0.7537125398490331,1.0264027890850815,0.6843504803742648,-0.7291532212172644,1.5397920149015523,-1.247052613962226
0.12,0.7477908272070481,1.0223527687763176,0.6800206708467579,-0.7331929399695045,1.5333576922989773,-1.2545526313717592
0.13,0.7413907014753358,1.0179158325519595,0.6753142485578552,-0.737530111720694,1.5263296383447642,-1.2626708608021522
0.14,0.7345212089024649,1.0130835829766047,0.6702318968278622,-0.7421517395213232,1.5186997494728682,-1.2713986601812097
0.15,0.7271920876465093,1.0078470485028814,0.6647746244210304,-0.7470439737564837,1.5104594369705209,-1.2807266489700728
0.16,0.7194137284291704,1.0021967824857883,0.6589437963509551,-0.7521921784029604,1.5015996764398147,-1.290644653326857
0.17,0.7111972452794136,0.9961227333925751,0.6527412488127574,-0.7575809277551554,1.4921110177896806,-1.3011417715690072
0.18,0.7025543775519462,0.9896144601674559,0.6461692791180479,-0.7631941186382808,1.4819836537929896,-1.3122062597487814
0.19,0.6934974687744827,0.9826611781215753,0.6392306924285762,-0.7690150335703997,1.4712074566505535,-1.3238255091336575
0.2,0.6840394666477463,0.9752517589330083,0.6319288644476858,-0.7750263932782279,1.4597720054529186,-1.3359860477014227
0.21,0.6741939230454674,0.967374730646761,0.6242678038976517,-0.7812104127677786,1.4476666128355555,-1.348673540591641
0.22,0.6639749196744061,0.9590184336159475,0.6162521557553883,-0.7875489067523596,1.4348803815736035,-1.3618727073158756
0.23,0.653397165438945,0.9501708893468074,0.6078873367571205,-0.794023290470963,1.4214022331120626,-1.375567367397732
0.24,0.6424759186964546,0.9408199395311385,0.5991795327618087,-0.8006146935444919,1.4072209521684744,-1.389740371582091
0.25,0.6312268464497627,0.930953507622699,0.5901356399972583,-0.8073041102366731,1.3923252556467838,-1.4043734701472839
0.26,0.6196660243365908,0.9205595988575268,0.5807633125406036,-0.8140724628722342,1.376703824255129,-1.4194473069247593
0.27,0.607809936629555,0.9096263002539398,0.5710710065911527,-0.8209006672131334,1.3603453345280219,-1.4349414111868568
0.28,0.5956754711990141,0.8981417890818794,0.561068017046446,-0.8277697024218565,1.3432384925157344,-1.4508341832776888
0.29,0.5832798041605921,0.886094558390162,0.5507644179769718,-0.8346607429911195,1.3253721137083976,-1.4671027701474832
0.3,0.5706405365154552,0.873473244688505,0.5401712063120714,-0.8415551484432625,1.3067351690056603,-1.4837231101943154
0.31,0.5577754484676167,0.8602669764497415,0.5293001224985494,-0.8484346647344276,1.287316843822532,-1.5006697835322733
0.32,0.5447024004873987,0.8464655276314242,0.5181635820863544,-0.8552815338819364,1.2671066072122068,-1.5179159316574644
0.33,0.531439333311432,0.8320593176758256,0.506774684082324,-0.8620785460578756,1.2460942730865168,-1.535433241084703
0.34,0.5180042668037945,0.8170394130116364,0.49514721392396227,-0.8688090909649472,1.224270067100164,-1.5531919260625224
0.35000000000000003,0.504415193230115,0.8013976811965112,0.48329554966484023,-0.8754572586221214,1.2016247134324414,-1.571160652663676
0.36,0.49069009911624667,0.7851267923921054,0.47123467318411366,-0.8820078700267144,1.1781495400584636,-1.589306513452545
0.37,0.47684672100349496,0.7682205066393057,0.4589799419443948,-0.8884466291751688,1.1538365617863813,-1.607594929501165
0.38,0.4629024255375731,0.7506738232033945,0.4465469590413545,-0.8947601988079928,1.1286785932200476,-1.625989597596571
0.39,0.4488742094686021,0.7324829805740486,0.4339515438649385,-0.9009362117138129,1.1026693748439524,-1.6444524943403085
0.4,0.4347786001575886,0.7136455626552212,0.42120961015551134,-0.9069633202685995,1.075803699315509,-1.6629438613123444
0.41000000000000003,0.4206316266331535,0.6941605348976161,0.40833710297589837,-0.9128312058279179,1.0480775626630334,-1.6814222181610659
0.42,0.4064485888769986,0.674028492688037,0.395349748008171,-0.9185306618452515,1.0194883074463679,-1.6998443367687182
0.43,0.3922438260525338,0.6532519072496927,0.3822627913489991,-0.924053655557983,0.9900347833079336,-1.7181652382655197
0.44,0.3780307159599451,0.631835126220176,0.3690909469202937,-0.9293932821478111,0.959717544469745,-1.7363382754820276
0.45,0.3638216078146312,0.6097844318448774,0.3558482827600229,-0.9345437387606547,0.9285390395403466,-1.7543152295423114
